board,from,to,results
2r1r2k/p4p1p/2q2p2/1pp5/4P1Q1/2P3P1/P4P1P/2RR2K1 w - - 4 25,62,63,0.0
r4k2/Pr2p2p/3p2pP/3q1p2/1Q6/1P6/5PP1/R3R1K1 w - - 1 29,50,49,0.0
8/8/8/pkp5/n2R4/8/5r2/K7 w - - 0 68,42,34,1.0
r3rk2/p3qppp/1n1b2n1/1ppP2P1/3p4/3P3P/PPPBB3/R2KQRN1 w k - 3 17,51,41,1.0
rnbq1rk1/ppp1b1pp/4p3/4Np2/2BP2Q1/2P5/P4PPP/R1B2RK1 w - - 0 11,53,37,1.0
8/2k2p1p/1p2b1p1/2r5/PRP5/2K2B1P/6P1/3r4 w - - 0 35,51,3,1.0
1n1rn2r/1bq1kp2/p2p2pb/N1PPp2p/PP2PP2/3N2P1/4Q1BP/R4RK1 w - - 1 23,45,60,1.0
1k6/2p5/1p6/p5pR/6P1/1PP4P/KP5r/8 w - - 2 42,12,15,0.0
kq6/1n1nr1b1/1Bbp3p/p5p1/N4p2/1B1N1P1P/1PP2QP1/1K1R4 w - - 3 34,58,57,-1.0
6k1/5p2/P2p2pp/1Br5/3Q4/5q1P/5P2/R5K1 w - - 0 37,56,21,1.0
r3kb1r/p4pp1/2n1p3/2p1P1Bp/2pP3P/2n2N2/PR1N1PP1/5RK1 w kq - 0 18,33,26,1.0
br3rk1/Q4pp1/4nn2/2bq1N2/2BNpP1p/4B3/6PP/2RR2K1 w - - 5 32,25,34,-1.0
k4r2/pp1R4/5p2/2p3pp/2P1b3/1P3N2/P1P3PP/1K6 w - - 0 32,55,39,1.0
8/8/8/1pB1p3/1P2pk2/P3R3/1r6/3K4 w - - 11 58,8,9,1.0
8/1kp5/1pb5/p2p4/P1P1p3/1P2P3/1K1PN3/8 w - - 0 38,51,35,0.0
8/3k4/p6p/Npb1n3/3p2p1/P2P2P1/2P4P/2K2BBb w - - 0 39,61,34,1.0
r2q1rk1/pppn1pbp/4pnp1/3p4/8/1P1P1PP1/PBPN1PBP/R2Q1RK1 w - - 3 10,60,62,-1.0
8/3k3p/8/4K3/n2B4/8/5P1P/8 w - - 4 42,52,51,1.0
1k5r/pbp2qp1/1pnb3p/1r3p2/7N/2BP2P1/PPP3BP/1KR1QR2 w - - 7 20,35,33,-1.0
r1bkqbnr/pppppppp/2n5/8/8/8/PPPPPPPP/RNBKQBNR w KQkq - 1 1,57,42,0.0
8/8/pp6/2p4P/2P2kn1/1P1K4/P7/8 w - - 4 46,36,29,1.0
r2k3r/1pp1bppp/2n1b3/3Bp3/2Q5/1P2PP2/P2P2PP/p1NK3R w KQq - 4 15,58,44,1.0
r1bq1rk1/4b1pp/n1p2n2/1p1p1pB1/p2P4/P4P1N/NPPQ2PP/1K1R1B1R w - - 2 13,57,40,1.0
1k3r2/1p6/p2q4/8/4Qp1p/1P5P/2P5/1K3R2 w - - 34 55,50,43,1.0
r4rk1/1bqpppbp/p1n3p1/3B4/Pp1NP3/4B2P/1PP2PP1/R2Q1RK1 w - - 1 14,58,49,-1.0
r1r3k1/pp1bpp2/2np1bpp/8/8/1BN1P3/PPP1NPPP/R4RK1 w - - 0 15,54,45,-1.0
2r1rbk1/1bq2p1p/pn1p1np1/1p1Pp3/2p1P3/2P2NN1/PPBBQPPP/R1R3K1 w - - 4 19,51,41,0.0
q4rk1/3pb2p/p1b1p1pP/n1p1PpN1/2P2B2/P1P1Q3/4BPP1/1R4K1 w - - 1 21,59,56,0.0
1k1rr3/1p1bq1p1/p2p1n1p/2p5/2PpP2Q/1P1B1P2/PK1B2PP/3RR3 w - - 0 21,55,47,-1.0
5r2/pp3pnk/4p1pp/3pP3/3P1QPq/7P/Pr3PK1/2R2RN1 w - - 0 22,10,9,1.0
1r2r3/2pq1b1k/p2p2pp/1n3P2/1P2P3/6NP/3Q2P1/B1R2RK1 w - - 3 27,62,55,1.0
2r1kb2/5pp1/p3p1b1/1p1qP2r/3N1Q1p/4B3/PPP2RPP/1K1R4 w - - 6 22,63,39,-1.0
r3qrk1/6pp/p1Np1n2/1p1Pp1Qn/8/5P2/PPP4P/2KR1B1R w - - 1 19,51,45,0.0
8/8/8/2b5/7B/3K4/4p3/3k4 w - - 38 95,6,34,0.0
k7/p7/8/1p1pBb2/3P2p1/1P6/P3r3/K1R5 w - - 0 36,41,33,1.0
r2kqbnr/ppp1pp1p/2n5/3p1bp1/3P1B2/5N2/PPP1PPPP/RN1KQB1R w KQkq - 0 4,54,38,-1.0
r3kb1r/1bq2ppp/p3pn2/1p2P3/1n1p1PP1/1NNBBQ2/PPP4P/1K1R3R w kq - 0 15,35,27,-1.0
3r4/1p3B1p/p4kpP/1q2pbN1/5n2/2P4R/PP3QP1/3K4 w - - 1 31,61,59,-1.0
r1bkqbnr/pppp1ppp/2n5/4p3/8/2N5/PPPPPPPP/R1BKQBNR w KQkq - 2 2,57,42,0.0
1kr1qb1r/pppb2pp/2n2pn1/4p3/4P3/2QPBN2/PP2NPPP/1KR2B1R w - - 5 10,52,46,0.0
4r3/1kp5/1p5p/p4p2/2PR3P/P2Q1P2/1P3q2/1K6 w - - 2 33,12,13,1.0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,62,45,0.0
6k1/2n1pp1p/2p4b/2NpP3/1PbP1p2/6P1/3B2BP/6K1 w - - 2 29,33,26,-1.0
4r1k1/1p1n2pp/np4p1/4pP2/b2pP3/3P1N1P/2qB1Q2/R4BK1 w - - 0 28,53,46,1.0
k1r3b1/r5p1/5p2/p1pq4/1p2pQP1/1PP1P2P/PB1P4/K1RR4 w - - 3 33,51,48,0.0
1k1q1r2/1p1n1P1p/1p6/pP1rN1p1/3P2P1/4Q3/P6P/KR6 w - - 1 36,60,59,1.0
8/4k1pp/R3p3/5p2/2R5/4P1P1/Pr3n1P/6K1 w - - 0 34,53,37,1.0
8/pp2k3/3b1n1p/3KNP2/3P4/7r/PP2R3/8 w - - 3 38,62,45,1.0
1kr1qr2/pbp4p/1pnp1np1/4pP2/4P2Q/2B2N2/PPP3PP/1K2RB1R w - - 0 13,51,43,1.0
k2b4/pp6/2p1rp2/2P5/4P2r/1P6/P1RB4/1K2R3 w - - 0 33,60,44,0.0
r1bkqbnr/p1pppppp/1pn5/8/4P3/8/PPPP1PPP/RNBKQBNR w KQkq - 0 2,49,41,-1.0
2rb2k1/1b1q1p1p/pp2p1p1/n1pPPn2/2P1N3/P4N1P/1Q3PP1/1BRR2K1 w - - 5 27,52,59,1.0
4Qbk1/5p2/p3Pqpp/8/5PP1/6P1/6BK/8 w - - 1 39,9,45,0.0
7R/8/8/8/8/p2p4/3k4/1Kr5 w - - 10 55,18,2,1.0
1k1rqbnr/ppp3pp/2n2p2/3pp3/5Pb1/1PN2N2/PBPPP1PP/1KR1QB1R w - - 0 7,52,36,-1.0
1k1b4/pppb2pp/3p1n2/8/2PB4/1P1BqPN1/P5PP/1K6 w - - 0 21,60,20,-1.0
1k2r2r/pp1b2pp/2pb1nqn/3p1p2/8/2NPP1PP/PPPBN1B1/1KR1Q2R w - - 2 14,58,60,0.0
r5k1/p1q1npp1/2p2r2/7p/N1PPp1bP/BP2P3/K5P1/2R1Q2R w - - 1 24,46,52,-1.0
8/1kp1R3/1p6/2n5/rPR5/5K2/8/8 w - - 0 84,8,24,0.0
rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P2PN2/P2P1PPP/RNBQKB1R w KQkq - 1 5,61,52,0.0
r2q1rk1/pb1p1ppp/1pn1pn2/6N1/3P4/2PB1N2/PP3PPP/R2QR1K1 w - - 1 13,35,45,0.0
8/ppk5/3b4/2p1r3/4K1B1/P5p1/1P1B2R1/8 w - - 12 39,39,36,-1.0
1k6/p1p3pp/1p6/3n1P2/6P1/P2PrN2/2P1r2P/1K2R2R w - - 4 26,60,20,-1.0
k1r4R/p4Q2/r1q1p3/3nP3/2p5/b1P5/PR1BB3/1K6 w - - 4 32,51,42,-1.0
r2k1b1r/pp1q2pp/2n5/5p2/5P2/1PpPp3/PB2Q1PP/1KR3NR w KQ - 0 15,27,18,-1.0
5k2/2B5/p5b1/1p5p/4P3/8/1PP3PP/2K5 w - - 1 36,53,46,1.0
4r1k1/8/3p1Pp1/2pP1p2/8/P2brB2/5K1R/5R2 w - - 0 45,33,19,-1.0
8/1kp3p1/1p6/8/2NPb2P/1PK5/5Q2/1q6 w - - 6 54,37,28,0.0
8/p4kq1/4p3/B1p1P1P1/2P1R2p/6bP/P5K1/3B4 w - - 1 50,62,53,0.0
rn1k1b1r/ppp2ppp/3q4/3b2N1/4Q3/8/PPPB1PPP/R2K1B1R w KQkq - 1 10,44,35,1.0
r2qk2r/pp2bppp/2ppnn2/4p2b/4P3/P2P1N1P/BPPN1PP1/R1BQR1K1 w kq - 1 11,30,39,1.0
8/2p5/8/1P4p1/3k1n2/1B3P2/3p1K2/8 w - - 2 60,36,27,1.0
8/7p/kr6/r2RP3/2pQ4/qPR5/1K4PP/8 w - - 1 35,25,16,1.0
4k3/R4ppp/8/8/3Pr2P/1Pp3P1/2P2K2/8 w - - 2 40,20,28,1.0
5k2/8/2q1pb2/1pp3p1/4P2p/1P1P3P/Q2NK1P1/8 w - - 1 47,60,61,1.0
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,51,35,-1.0
1rb2rk1/p2n2pp/1q2p3/3pP1B1/3P4/bp3N2/N1PQB1PP/1K1R3R w - - 0 19,26,17,-1.0
1k5q/1pp5/p2nQb2/4p1p1/8/PP1B1PP1/1BP5/1K6 w - - 2 55,52,45,-1.0
rn1qk2r/pbp1bppp/1p2pn2/3p2B1/2PP4/P1N2N2/1P2PPPP/R2QKB1R w KQkq - 2 7,61,52,0.0
1k6/1p6/p7/P2P4/1P1Rb3/1B6/1K5r/8 w - - 1 44,31,15,0.0
8/k1p5/1r6/pR2P2p/8/P7/1KP1r3/2R5 w - - 1 40,42,41,1.0
r4rk1/pppq1p1p/1n4p1/3p4/P3PP1b/1QN1B2b/1P2BP1P/3RK1R1 w - - 0 19,44,35,1.0
r1bqkb1r/1p1n1ppp/p1p1pn2/8/2pPP3/2NB1N2/PP3PPP/R1BQK2R w KQkq - 0 8,35,26,1.0
2rqr1k1/pp3pbp/3p2p1/3P4/2p1PB2/3P2P1/PP5P/1R1Q1RK1 w - - 0 18,56,58,-1.0
rnbqk2r/pp2b1pp/2p1pn2/3p1p2/2PP1B2/5NP1/PP2PPBP/RN1QK2R w KQkq - 4 7,61,52,-1.0
1kr2r2/ppp3bp/3qbnp1/1B1p1p2/3P4/2N1PP1P/PPPB1Q2/1KR4R w - - 5 14,51,43,0.0
1k1rr3/1pb1nqp1/p4p1p/3p4/4nNP1/1PPRP2P/PBB5/1K1Q1R2 w - - 5 30,46,52,1.0
1kr4r/pp2npp1/2qbb3/3p2Pp/2pP1P2/2N1B2P/PPP2QB1/R2K3R w kq - 3 15,60,42,1.0
7k/p6p/1nr1B1p1/5p2/7P/1P2P1P1/3R1P2/6K1 w - - 5 41,50,42,1.0
4r3/1b6/1n1k2p1/1P1p1pPp/2pP1P1P/2N4R/2P3B1/2K5 w - - 3 44,56,49,-1.0
r2kqbnr/ppp1pppp/8/8/3nP1b1/2N5/PPPP2PP/R1BKQBNR w KQkq - 3 5,58,30,-1.0
6R1/8/5k2/5p2/2P1pP1P/2K1P3/r5P1/8 w - - 2 59,9,8,-1.0
2k2r2/1ppnb3/p3q2p/4p1p1/4P1P1/1PPQB2P/P3B3/K2R4 w - - 0 31,55,47,0.0
r3kbnr/pp1qpppp/2np4/8/3QP3/2N5/PPP2PPP/R1B1K1NR w KQkq - 1 7,57,42,1.0
r1bkqbnr/p1pp2pp/1p6/4np2/8/3P1N2/PPP1P1PP/RNBKQB1R w KQkq - 0 5,49,41,-1.0
8/pk6/2b5/b1PN1p1p/5N1P/5nP1/P7/2R3K1 w - - 7 59,36,21,-1.0
r6r/ppp1k2p/2n1bp2/4p3/3pP2Q/PPqP1NP1/2P4P/R2K1B1R w kq - 1 15,34,18,0.0
r5k1/pp3p1p/3pp1p1/q7/6P1/1P1BQP2/P2K3P/7R w - - 1 25,38,32,0.0
2r5/3R4/6p1/k6p/2PB1P1P/3K4/8/3b4 w - - 7 42,41,32,-1.0
2k5/pp6/8/1PP2RP1/8/P1K1p3/6r1/8 w - - 0 34,28,20,1.0
1k1r4/1pb5/p1q2p2/5N1p/P2pP1p1/Q2P2P1/2P2RK1/8 w - - 6 39,32,50,1.0
r1b1rk2/pp2qppp/2n2n2/3p4/2p3P1/2PPPN1P/P1PBB3/R2KQ2R w kq - 0 12,34,26,-1.0
1k6/2p5/1p2P3/5qp1/1p3p2/1P5P/3r2P1/1KQ1R3 w - - 5 43,45,37,1.0
8/3k4/1ppN4/p1Pp1p2/3P4/1P2K3/P7/2n5 w - - 0 44,49,41,1.0
8/8/3N4/3KR3/1k5r/8/8/8 w - - 38 99,33,25,1.0
1k6/1pp5/8/p4r2/8/1P6/PKP4R/8 w - - 0 27,40,32,0.0
r1b1k2r/pppp2pp/2nqp3/5p2/2PPn3/P4NP1/1PQ1PPBP/RN3K1R w kq - 1 11,25,43,1.0
8/p4p2/8/n2pkPp1/6Pp/2PK3P/P5B1/8 w - - 8 60,26,32,1.0
1r6/8/p7/3k2pp/P1p2b2/2BP3P/K5P1/4R3 w - - 0 39,34,26,1.0
1k2r3/p1p5/1pb5/3N2R1/P2n4/5P2/1PPN4/1K6 w - - 1 36,61,60,0.0
rn1qkb1r/1p3ppp/p4n2/3ppP2/8/2NB4/PPP2PPP/R1BQK2R w KQkq - 0 9,43,35,1.0
r2q1rk1/ppp2p2/1b1pb1p1/4p2Q/3PPp2/2P4P/PPB2PPN/R3R1K1 w - - 0 18,54,46,0.0
6rr/pp2k3/4b2p/3p4/3Pp2n/4P1b1/PP1BB1P1/1K1N2RR w - - 6 22,46,31,0.0
r1bkq2r/ppp2ppp/5n2/3pn3/1b6/2N1P2P/PPPP2P1/R1BKQBNR w KQkq - 1 6,61,25,0.0
1k6/1p6/3p2Pp/1p1Pp3/1P2P3/P1P1K1R1/7r/2r5 w - - 0 42,3,2,1.0
4k3/1p6/p3pBpp/3R4/6rP/4P3/5K2/8 w - - 0 37,53,44,1.0
r2q1rk1/1b3pp1/p2b1n2/1pppNBp1/3P4/2N1P3/PPQ2P1P/1K1R3R w - - 0 17,47,38,-1.0
r2qr1k1/1b1nbppp/2p2n2/pp1p4/3P1B2/2N2NPB/PPQ1PP1P/R2R2K1 w - - 0 16,48,32,1.0
2k5/pp6/8/1PP3pp/3N1r1P/2P3r1/2K5/7R w - - 0 53,46,38,0.0
r1bkqbnr/pp4pp/2n1pp2/2p5/3pPP2/5N2/PPPP2PP/RNBKQB1R w KQkq - 2 6,57,42,1.0
6k1/p3ppbp/6p1/7r/1Pp1PB2/2Pr2Pq/P3Q2P/2R1R1K1 w - - 1 30,59,19,-1.0
2k5/6b1/p7/1pB2np1/4Kp2/P1P2P1p/1P1N1P2/8 w - - 0 37,31,23,-1.0
8/1r1k3p/3p4/3p1pb1/pP1Pn3/P5P1/1BR4P/1KR5 w - - 0 29,47,38,0.0
r2q2k1/p2br1pp/1p1N1p2/3pN1Q1/1n1P4/4R3/1P3PPP/4R1K1 w - - 0 24,53,45,0.0
1k6/pbp4q/1pnr1B2/3p1p2/4p1P1/1P2P1Q1/P1P1B2P/1K1R4 w - - 4 24,59,43,-1.0
8/k1p5/pqR5/4r2p/P5p1/1P6/1KP1r1QP/5R2 w - - 4 42,20,12,1.0
1kb5/ppp3q1/7p/3B4/3p4/3Pr1P1/PPPQ3P/1K3R2 w - - 3 25,37,58,0.0
rn2rk2/p4ppp/1p3n2/3p1b2/3P4/P3B3/2P1BPPP/R3K1NR w - - 1 12,58,37,0.0
1kr1q2r/pp1b3p/5np1/2bn1p2/4p3/1B2P1NP/PPPBN1P1/1KR1Q2R w - - 2 16,52,35,1.0
2k5/1p4R1/8/1K6/1P6/2r3p1/8/8 w - - 9 51,42,18,0.0
r3kb1r/pp3ppp/2n1pn2/q7/3P2b1/2N2N2/PP2BPPP/R1BQ1RK1 w kq - 4 10,62,45,1.0
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,57,42,1.0
4r1k1/1pq2ppp/rNp1bn2/p1P1p3/4P3/1P3PP1/P2Q2BP/2RR2K1 w - - 1 21,52,50,1.0
r2q1rk1/1p1n1ppp/p4n2/2pPN3/2P2p2/2N5/PP2Q1PP/2R2RK1 w - - 1 16,60,62,1.0
rnbkq1nr/pppp1ppp/8/4p3/1b2P3/8/PPPP1PPP/RNBKQBNR w KQkq - 1 2,61,25,1.0
6k1/8/p3p3/1p2n1Pp/3pN2K/1P6/P7/8 w - - 0 44,51,36,-1.0
1kr1qb1r/pbppnppp/1pn1p3/8/4P3/2NP4/PPPB1PPP/1KR1QBNR w - - 2 6,62,52,0.0
8/1Q4p1/p2qkp2/P6p/8/2P3P1/5P2/6K1 w - - 1 43,53,44,0.0
8/5k1p/1b3pp1/1RrKp3/4P3/8/5PPP/8 w - - 0 43,42,34,0.0
2rr2k1/p1q1bpp1/1pbppn1p/8/P3PP2/2N1BB2/1PP1Q1PP/R2R3K w - - 6 17,56,58,-1.0
8/6k1/3b3p/4qPp1/6P1/3Q2P1/6BK/8 w - - 3 47,61,43,0.0
1k1rr3/ppp1nbp1/1b3p2/1P1p3p/2nP4/PNN2P2/1BP3PP/1K1R1B1R w - - 1 22,42,52,0.0
1kr4r/p2q2bp/2p1p1p1/2P2p2/p2PpP2/1P2P3/1BQ3PP/1KR4R w - - 0 23,33,24,1.0
8/8/5B2/5pP1/2b3k1/3p2P1/p2K4/8 w - - 6 68,39,30,-1.0
r7/1ppb1p2/p2p1k2/P2Pr1p1/1PP4p/5P1P/4BKP1/R3R3 w - - 3 33,60,36,0.0
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,51,35,-1.0
k1r5/1p1q2p1/p4n2/Q7/3BpP2/1B2P3/2r5/K1R5 w - - 0 38,42,10,-1.0
rnbqk1nr/pp1pppbp/6p1/2p5/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 2 4,61,54,0.0
rnbq1rk1/pp4pp/2p1pb2/3pNp2/2PPnB2/2N3P1/PP2PPBP/R2Q1RK1 w - - 10 10,52,45,-1.0
8/r4pk1/6p1/7p/2R4P/8/5PP1/6K1 w - - 0 28,55,39,0.0
r2qn1k1/p1p2ppp/4p3/Q2b4/P2P4/B5P1/5P1P/R3R1K1 w - - 0 20,45,60,0.0
8/1k6/6p1/1P2Kb1p/p4P1P/3p2P1/2rB4/R7 w - - 4 65,26,10,1.0
r3rk2/1pp1qppp/8/p4b2/1b2PQ2/3P4/PPP3PP/R2K1B1R w kq - 0 14,58,37,-1.0
1r6/5pk1/2r3p1/6Bp/p1BPp3/1P6/P5P1/5NKR w - - 1 33,62,54,-1.0
r7/8/8/4k3/8/P2R4/3NKP2/8 w - - 9 61,24,56,1.0
1kr1qr2/pppb3p/3bnn2/5p2/2PPp2R/1N2P3/PB3PP1/1KRNQB2 w - - 1 15,59,44,1.0
2n1Rbk1/pp3b1p/5pp1/P4N2/4Pq2/7P/5NB1/5R1K w - - 0 35,22,29,-1.0
8/8/6R1/6r1/1K1p1k2/3P2p1/2P5/8 w - - 1 45,36,38,1.0
1k3r1r/pppb3p/1b1p4/3Bp1p1/4P2q/P4P1P/1PPN2P1/1K1RQ2R w - - 1 19,47,31,0.0
r4knr/5ppp/qp2p3/2npP3/8/2P1Q3/3BNPPP/1R3RK1 w - - 2 19,16,40,1.0
2r5/p5p1/1b2k3/1p2p1p1/1P2Pp2/1K1r1P1P/1BP3P1/5R2 w - - 0 30,59,19,0.0
5r1r/p1p5/1pk5/3pR3/3P1PpP/8/PPP5/1K5R w - - 1 30,58,61,0.0
r3r1k1/1p1b1pp1/2pp2np/q6n/p2PP3/5NNP/PP2QPP1/1BR1R1K1 w - - 8 20,45,39,0.0
2R5/5pk1/r1p4p/3p2p1/3P4/1P6/P1P3PP/1K6 w - - 3 36,48,40,-1.0
8/p1p5/3b2k1/2p5/2PpPppB/PP1P4/4P1K1/8 w - - 11 59,45,46,0.0
7r/1ppk2p1/p3bp2/4p2p/3rP2P/1P1P2N1/P1P2RP1/2K4R w - - 4 21,58,51,1.0
5rk1/2r1Qp1p/pp4p1/8/P2q4/1P5P/5PP1/4R1K1 w - - 0 24,58,50,0.0
5b2/5R2/3k1n1p/3P1P2/rp1PpP2/4P3/P6P/2K5 w - - 0 31,51,45,0.0
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6,51,43,-1.0
rnbqkbnr/ppp1pppp/3p4/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,51,43,0.0
3R1bk1/4pn1p/p5p1/1rp1Pp2/2n2P2/2P2NN1/P5PP/6BK w - - 1 29,47,53,-1.0
8/pp4R1/3k1n2/3p1r2/3K4/1P1P1B2/P7/5b2 w - - 1 33,36,37,1.0
8/R4p2/1P3k2/2K5/8/6p1/8/1r6 w - - 0 65,30,22,-1.0
1k2qr2/p1p4Q/1p1p4/5P1p/3p2p1/P2P4/1PP5/1K4R1 w - - 1 35,62,61,1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,0.0
5b1r/p2knppp/2p5/2PpPb2/3N4/1r2BN2/P4PPP/5RK1 w - - 0 20,57,17,1.0
r2kq2r/ppp1b1pp/2npbn2/4p1B1/4P3/2N3P1/PPP2P1P/1KR1QBNR w KQ - 1 8,58,44,1.0
r2qr1k1/pp1n1pbp/3p1np1/2pP4/4P3/2NB3P/PP2QPP1/R1B2RK1 w - - 3 13,61,60,0.0
r2k3r/1ppbqppp/p4n2/3pn3/Pb6/2NPP2P/1PP1N1P1/R1BKQB1R w KQkq - 3 9,60,52,0.0
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,50,34,-1.0
rn1kqbnr/ppp3pp/4bp2/3p4/8/8/PPPPP1PP/RNBKQBNR w KQkq - 0 4,58,44,-1.0
1kr3nr/pbpp1qpp/1pn5/2b1pp2/4P3/2NP1P2/PPPBN1PP/1KR1QB1R w - - 3 9,52,34,1.0
1k1r3r/1bb1qpp1/pp3n2/2ppnBNp/7P/1PN1PP2/PBP3P1/1K1RQ2R w - - 2 15,43,50,1.0
2rk3r/3b1R2/p3p1Q1/3p1p1p/3B4/q1P5/P5PP/2R3K1 w - - 4 35,52,16,1.0
2rq1rk1/pbpn1ppp/1p1ppn2/6B1/2PP4/P3PN2/1PQ2PPP/R3KB1R w KQ - 3 11,56,58,-1.0
r2k3r/1p1nb1p1/2n1b2p/pqp5/3pPB1P/1P1P1NP1/P2QN1B1/R4RK1 w KQ - 5 19,45,51,0.0
2r2rk1/2qp2pp/pp2p3/2b5/1PP4Q/P4b2/5PPP/2BRR1K1 w - - 0 22,49,21,1.0
r3rk2/1p2npp1/p1q5/3p2Pp/2pP1QnP/2N1P3/PPP5/R1BK3R w kq - 1 18,59,61,1.0
1kr2q1r/1p4p1/8/P1pn3p/3PpP2/Pb2P2P/1B3QP1/R3KB1R w - - 0 20,50,34,-1.0
8/R7/5kp1/7p/4P2P/p4PK1/r5P1/8 w - - 4 46,53,45,0.0
r2kr3/pppb1qpp/3b1n2/5pB1/3P4/2N2N2/PPPQ2PP/R2K3R w Kkq - 3 15,35,53,0.0
8/2p5/1p1bk3/p7/P7/1PBP4/1KP3r1/5R2 w - - 8 45,30,14,-1.0
1k3rr1/1p6/p3qn2/4p1p1/3pP1P1/P1P2Q2/1P1R1B2/1K5R w - - 1 29,52,44,1.0
8/8/1p3k2/p1p2p2/P4Pr1/1PPK4/8/4R3 w - - 2 45,46,30,1.0
r2qr1k1/pppn1ppp/n2p1b2/3P4/2P3b1/P1N1BN2/1P2BPPP/R2Q1RK1 w - - 3 13,52,45,-1.0
8/8/2p2R1P/p1kb4/Pp1r4/1P1B3r/2PKR3/8 w - - 1 50,7,23,-1.0
